call_id,dateCreated,serviceCallSubject,jobStatus,callType,dueDate,managedBy,State,customerCode,customerName,salesEmployeeName,quotedAmount,totalInvoicedAmount,amountToBeInvoiced
3826,16/04/25,ID-3826 Maroochydore Homemaker Service Call,Open,Hardware,08/08/25,Chris Stevens,QLD,BBRC8X,Calardu Maroochydore Homemaker Centre,Kurt Schober,1080,0,1080
3968,05/07/25,ID-3968_Optus July 25,Open,Contract,15/08/25,Chris Stevens,NSW,OPMO8,Optus Mobile Pty Ltd,Kurt Schober,10000,0,10000
4016,29/07/25,ID-4016 Goldline - Chatswood Chase service call,Dispatched,Hardware,29/08/25,Michael Wyatt,NSW,GOLIND,Goldline Industries Pty Ltd,Kurt Schober,0,0,0
3998,16/07/25,ID-3998_Australia Fair -Supply Only,Open,Hardware,29/08/25,Chris Stevens,QLD,SC4215-001,Australia Fair Shopping Centre,Kurt Schober,380,0,380
3972,07/07/25,ID-3972 - Lease Equity Pinjarra Junction SC - service call,Reattending,Hardware,29/08/25,Michael Wyatt,WA,SC6208-001,Pinjarra Junction Shopping Centre,Kurt Schober,1080,0,1080
3875,16/05/25,ID-3875 Eastlands Centre service call,Waiting PO,Hardware,29/08/25,Michael Wyatt,TAS,SC7018-001,Eastlands Centre,Kurt Schober,1080,0,1080
4015,29/07/25,ID-4015 P6926-25 Vodafone Bourke Street - Install 2 x Recovered 3D Gen2 Sensors at Bourke Street Temp Store,Open,Solution,29/08/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,1966,0,1966
4025,01/08/25,ID-4025 Morayfield - Service Call North Ramp,Open,Hardware,29/08/25,Chris Stevens,QLD,SC4506-001,Morayfield Shopping Centre,Kurt Schober,1080,0,1080
3046,27/03/24,ID-3046 Vicinity The Strand Service Call,Ready for A/R Inv,Hardware,29/08/25,Chris Stevens,NSW,SC2000-003,The Strand Arcade,Kurt Schober,700,0,700
3678,05/02/25,ID-3678 Entertainment Quarter Service Call,Open,Hardware,29/08/25,Chris Stevens,NSW,FSAU8,The Entertainment Quarter,Kurt Schober,1020,0,1020
4014,29/07/25,ID-4014 P6924-25 Vodafone Partner Minto VI007 - Remove Foot Traffic Counters,Waiting PO,Solution,29/08/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,878,0,878
4032,06/08/25,ID-4032 Vicinity Cranbourne Park SC - service call,Dispatched,Hardware,30/09/25,Michael Wyatt,VIC,SC3977-001,Cranbourne Park Shopping Centre,Kurt Schober,720,0,720
4033,06/08/25,ID-4033 Vodafone Partner L1172 Burleigh Heads - service call return visit,Dispatched,Hardware,29/08/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,0,0,0
4034,06/08/25,TS-ID-4034 P6898-25 TfNSW - Fitzroy Falls Tube Survey,Open,Traffic Survey,28/11/25,Michael Wyatt,NSW,TNSW2,Transport for NSW ABN:18 804 239 602,Kurt Schober,4502,0,4502
4035,06/08/25,ID-4035 Vodafone partner store VS0094 Warriewood - service call,Open,Hardware,30/09/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,0,0,0
