customerCode,customerName,customerCurrency,salesEmployeeName,paymentTerm,billingAddress,shippingAddress,creationDate,firstInvoiceDate,lastInvoiceDate
ADEA5,F.C & J.A Helle-Broe T/S Adelaide Earmoulds,AUD,Karen Riddell,Net 30 Days,"42 Miller Street, Seacombe Gardens SA 5017 Australia","42 Miller Street, Seacombe Gardens SA 5017 Australia",29/06/2020,20/05/2021,20/05/2021
ADEI6,AD Engineering International,AUD,Jennifer Chen,COD,"4 Supreme Loop, Gnangara WA 6077 Australia","4 Supreme Loop, Gnangara WA 6077 Australia",29/06/2020,,
ADIN2,ADInstruments NZ Ltd,AUD,Jennifer Chen,Net 30 Days,"Unit 13, 22 Lexington Drive, Bella Vista NSW 2153 Australia","Unit 13, 22 Lexington Drive, Bella Vista NSW 2153 Australia",29/06/2020,30/06/2020,13/01/2025
ADMA2,Access Diagnostics & Maintenance,AUD,Karen Riddell,COD,"13 Hilltop Crescent, Campbelltown NSW 2560 Australia","13 Hilltop Crescent, Campbelltown NSW 2560 Australia",7/11/2023,7/11/2023,22/05/2024
ADME2,All Diesel Mechanical,AUD,Karen Riddell,COD,"3 Viscount Road, Wingham NSW 2429 Australia","3 Viscount Road, Wingham NSW 2429 Australia",2/06/2022,3/06/2022,10/01/2023
ADPA4,ADEParts,AUD,Karen Riddell,COD,"PO Box 13, Boonah QLD 4310 Australia","Unit 3912, 42 Laver Drive, Robina QLD 4226 Australia",19/04/2023,19/04/2023,16/06/2025
ADPP2,MPower Projects Pty Ltd,AUD,Karen Riddell,Net 30 Days,"14,15 Bourke Road, Mascot NSW 2020 Australia","14,15 Bourke Road, Mascot NSW 2020 Australia",29/06/2020,31/03/2023,22/11/2023
ADSY4,All Diesel Systems,AUD,Karen Riddell,COD,"Unit 1/7 Hollingsworth St, Portsmith QLD 4870 Australia","Unit 1/7 Hollingsworth St, Portsmith QLD 4870 Australia",4/03/2025,4/03/2025,7/05/2025
ADTE0U,Adlink Techonology Inc,USD,Jennifer Chen,Net 60 Days,"9F, No.166 Jian Yi Road, Chungo City,  Taipei  235 Taiwan","9F, No.166 Jian Yi Road, Chungo City,  Taipei  235 Taiwan",24/08/2020,24/08/2020,28/05/2021
ADVA3,adant,AUD,Jennifer Chen,Net 30 Days,"PO Box 328, Dingley Village VIC 3172 Australia","PO Box 328, Dingley Village VIC 3172 Australia",29/06/2020,,
ADVA6,Advanteering Civil Engineers,AUD,Karen Riddell,COD,"14 Prince Street, Busselton WA 6280 Australia","14 Prince Street, Busselton WA 6280 Australia",8/06/2021,,
AEDE4,Andrews Electronics Designs Pty Ltd,AUD,Jennifer Chen,COD,"9 Condamine Court, Killarney QLD 4373 Australia","9 Condamine Court, Killarney QLD 4373 Australia",29/06/2020,,
AEFG2,Aegis Fire Guard,AUD,Karen Riddell,COD,"34 Rosen Street, Epping NSW 2121 Australia","34 Rosen Street, Epping NSW 2121 Australia",29/06/2020,20/05/2021,20/05/2021
AEIM4,Auto Electrical Imports Pty Ltd,AUD,Karen Riddell,Net 30 Days,"PO Box 1053, Archerfield QLD 4108 Australia","129 Kerry Road, Archerfield QLD 4108 Australia",29/06/2020,18/05/2021,19/03/2025
AESE3,ARA Electrical Services,AUD,Karen Riddell,COD,"10-23 Susan Street, Eltham VIC 3095 Australia","10-23 Susan Street, Eltham VIC 3095 Australia",27/02/2025,,
AETC2,Engineered Products Group P/L,AUD,Karen Riddell,30 Days EOM,"31 Powers Road, Seven Hills NSW 2147 Australia","31 Powers Road, Seven Hills NSW 2147 Australia",29/06/2020,,
AETE2,Aervision Technology Pty Ltd,AUD,Jennifer Chen,Net 30 Days,"94 Burdett Street, Wahroonga NSW 2076 Australia","94 Burdett Street, Wahroonga NSW 2076 Australia",29/06/2020,,
AEVE2,Australian Electric Vehicles,AUD,Karen Riddell,COD,"Unit 12, 9 Kilto Crescent, Glendenning NSW 2761 Australia","Unit 12, 9 Kilto Crescent, Glendenning NSW 2761 Australia",29/06/2020,6/12/2022,11/04/2023
AFEL2,A-Force Electrics (Australia) Pty Ltd,AUD,Karen Riddell,Net 30 Days,"PO Box 781, Stanhope Gardens NSW 2768 Australia","No.2 Store, 10 Colquhoun Street, Rosehill NSW 2142 Australia",22/07/2022,22/07/2022,28/10/2022
AFGRI6,AFGRI Equipment Australia Pty Ltd,AUD,Karen Riddell,COD,"24 Edwards Street, Utakarra WA 6530 Australia","24 Edwards Street, Utakarra WA 6530 Australia",22/05/2025,22/05/2025,22/05/2025
AFJV2,Acciona Ferrovial Joint Venture,AUD,Karen Riddell,COD,"Opposite 57 Queen Street, North Strathfield NSW 2137 Australia","Opposite 57 Queen Street, North Strathfield NSW 2137 Australia",6/09/2024,,
AFPO2,Australian Federal Police,AUD,Karen Riddell,Net 30 Days,"GPO Box 401, Canberra City ACT 2601 Australia","GPO Box 401, Canberra City ACT 2601 Australia",24/03/2021,26/05/2021,26/05/2021
AFPO6,Aussie Fluid Power,AUD,Karen Riddell,COD,"136 Cockburn Road, North Coogee WA 6163 Australia","136 Cockburn Road, North Coogee WA 6163 Australia",29/06/2020,,
AFTN2,Advance Fire Technology Pty Ltd,AUD,Karen Riddell,COD,"Unit 3, 202-204 Harbord Road, Brookvale NSW 2100 Australia","Unit 3, 202-204 Harbord Road, Brookvale NSW 2100 Australia",29/06/2020,,
AGDE2,Attorney General's Department,AUD,Karen Riddell,COD,"D Branch GPO Box 2176, Canberra City ACT 2601 Australia","Unit 4, 73 Sheppard St, Hume ACT 2620 Australia",29/06/2020,12/08/2020,17/11/2022
AGHY4,Agnes Hydraulics Service,AUD,Karen Riddell,COD,"97 Rocky Crossing Road, Agnes Water QLD 4677 Australia","97 Rocky Crossing Road, Agnes Water QLD 4677 Australia",29/06/2020,,
AGRE8,Agriparts & Repairs,AUD,Karen Riddell,COD,"29 Welshpool Road, Welshpool WA 6106 Australia","29 Welshpool Road, Welshpool WA 6106 Australia",29/06/2020,,
AGSC5,A G Schillings & Co,AUD,Karen Riddell,COD,"3 Goyder Street, Kadina SA 5554 Australia","3 Goyder Street, Kadina SA 5554 Australia",29/06/2020,,
AHKP8,Arana Hills Plaza,AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,30/06/2020,30/06/2020
AHLA3,Australian Hearing Laboratory,AUD,Karen Riddell,Net 30 Days,"38 Hall Road, Warrandyte South VIC 3134 Australia","38 Hall Road, Warrandyte South VIC 3134 Australia",29/06/2020,30/06/2020,20/07/2023
AIHYS3U,AI hycloud solutions,USD,Jennifer Chen,COD,"86 Punt Road, Windsor VIC 3181 Australia","3 Westwood Grove, Pakenham VIC 3810 Australia",2/09/2024,2/09/2024,10/09/2024
AIME2,Enviroline,AUD,Karen Riddell,Net 30 Days,"PO Box 8276, Werrington County NSW 2747 Australia","52 Vallance Street, St Marys NSW 2760 Australia",16/03/2022,22/07/2022,22/07/2022
AIMS4,Australian Institute of Marine Science,AUD,Jennifer Chen,Net 30 Days,"PMB 3 Mail Centre, Townsville QLD 4810 Australia","Unit 2,30 Civil Road, Garbutt QLD 4814 Australia",15/01/2021,11/02/2021,15/08/2023
AIOB4,AIO BUILDING SERVICES PTY LTD,AUD,Kurt Schober,Net 30 Days,"PO BOX 3758, ROBINA TOWN CENTRE DC QLD 4230 Australia",BUNDALL QLD 4217 Australia,25/08/2023,8/09/2023,8/09/2023
AISE6A,Aisat Instruments Retail Unit,AUD,Karen Riddell,COD,"PO BOX 103, Chidlow WA 6556 Australia","PO Box 103, Chidlow WA 6556 Australia",29/06/2020,,
AJSM2,AJS Machinery,AUD,Karen Riddell,COD,"22 Woodstock Rd, Croobyar NSW 2539 Australia","22 Woodstock Rd, Croobyar NSW 2539 Australia",29/06/2020,8/04/2021,7/02/2023
ALAC4,Cozy'S Rural And Mechanical,AUD,Karen Riddell,COD,"256 Fanning Downs Road, Charters Towers QLD 4820 Australia","256 Fanning Downs Road, Charters Towers QLD 4820 Australia",29/06/2020,,
ALCC8,Alb,AUD,Karen Riddell,Net 30 Days,"PO Box 323, Albury NSW 2640 Australia","553 Kiewa Street, Albury NSW 2640 Australia",10/08/2020,15/02/2021,15/02/2021
ALCN4,Allclass North,AUD,Karen Riddell,COD,"10 Comport Street, Portsmith QLD 4870 Australia","10 Comport Street, Portsmith QLD 4870 Australia",29/06/2020,15/04/2021,15/04/2021
ALECT8,A-lect,AUD,Karen Riddell,COD,"431 Bayswater Road, Garbutt QLD 4814 Australia","431 Bayswater Road, Garbutt QLD 4814 Australia",29/04/2021,29/04/2021,22/11/2022
ALEN0,Alert Engineering Ltd,AUD,Karen Riddell,COD,"7 Gabador Place, Mount Wellington Auckland  1060 New Zealand","79C Carbine Road, Mt Wellington Auckland  1060 New Zealand",29/06/2020,9/09/2020,1/07/2021
ALHA3,Alfons Haar Pty Ltd,AUD,Jennifer Chen,COD,"Unit1 2 East Circuit, Sunshine West VIC 3020 Australia","Unit1 2 East Circuit, Sunshine West VIC 3020 Australia",29/06/2020,,
ALHE3,L&H Group,AUD,Jennifer Chen,Net 30 Days,"PO Box 319, Heidelberg VIC 3084 Australia","185 Berkeley Road, Unanderra NSW 2526 Australia",29/06/2020,22/12/2020,28/02/2025
ALIN3,Alterra Industries,AUD,Jennifer Chen,COD,"11 Derring Lane, Cheltenham VIC 3192 Australia","11 Derring Lane, Cheltenham VIC 3192 Australia",29/06/2020,22/09/2020,22/09/2020
ALINT6,Alinta Dewap Pty Ltd,AUD,Jennifer Chen,Net 30 Days,"PO Box 2161, South Hedland WA 6722 Australia","Port Hedland Power Station 6Km South Of South Hedland Great Northern Highway, South Hedland WA 6722 Australia",29/06/2020,,
ALLP4,ALL-PUMPS,AUD,Karen Riddell,COD,"130 Sandstone Place, Parkinson QLD 4115 Australia","130 Sandstone Place, Parkinson QLD 4115 Australia",18/03/2024,21/03/2024,21/03/2024
ALPE2,Alexander Perrie & Co Pty Ltd,AUD,Karen Riddell,Net 30 Days,"90-96 Bath Road, Kirrawee NSW 2232 Australia","90-96 Bath Road, Kirrawee NSW 2232 Australia",29/06/2020,30/06/2020,16/07/2025
ALPU6,Allied Pumps Pty Ltd,AUD,Karen Riddell,COD,"2 Modal Crescent, Canning Vale WA 6155 Australia","2 Modal Crescent, Canning Vale WA 6155 Australia",29/06/2020,,
ALTDIS,Altronic Distributors Pty Ltd,AUD,Kurt Schober,Net 30 Days,"PO Box 8350, Perth Business Centre WA 6849 Australia","174 Roe Street, Northbridge WA 6003 Australia",31/01/2023,1/02/2023,16/08/2024
ALTR4,ALTRAD,AUD,Karen Riddell,COD,"61-63 Spencer Street, Roma WA 4455 Australia","61-63 Spencer Street, Roma WA 4455 Australia",26/06/2024,,
ALTRAC,Altrac AG,USD,Jennifer Chen,COD,"Bahnhofstrasse 3, 5436 Wurenlos   Switzerland","Bahnhofstrasse 3, 5436 Wurenlos   Switzerland",29/06/2020,19/04/2021,24/06/2022
AMAU8,Amway Of Australia,AUD,Kurt Schober,30 Days EOM,Australia,Australia,29/06/2020,,
AMDIPL,Advanced Microsystems Design Integration Pty Ltd,AUD,Kurt Schober,COD,"Unit 2, 55 Tradelink Road, Hillcrest QLD 4118 Australia","Unit 2, 55 Tradelink Road, Hillcrest QLD 4118 Australia",24/07/2024,24/07/2024,13/05/2025
AMEQ2,Australian Mining Equipment Pty Ltd,AUD,Karen Riddell,COD,"12-14 Martin Drive, Tomago NSW 2322 Australia","12-14 Martin Drive, Tomago NSW 2322 Australia",29/06/2020,17/08/2020,21/06/2024
AMEX4,Australia Mining Export Pty Ltd,AUD,Karen Riddell,COD,"Unit 3, 471 Tufnell Road, Banyo QLD 4014 Australia","Unit 3, 471 Tufnell Road, Banyo QLD 4014 Australia",29/06/2020,,
AMTE2B,Industrea Mining Equipment,AUD,Karen Riddell,30 Days EOM,"PO  Box 166, Rutherford NSW 2320 Australia","Lot 3 Corner Of Tyson Road And Capricorn Highway, Emerald QLD 4720 Australia",29/06/2020,,
ANDAU,Anduril Australia Pty Ltd,AUD,Jennifer Chen,COD,"Suite 39.03 One International Towers 100 Barangaroo Avenue, Barangaroo NSW 2000 Australia","Suite 39.03 One International Towers 100 Barangaroo Avenue, Barangaroo NSW 2000 Australia",6/03/2024,7/03/2024,17/04/2024
ANDAU2,Anduril Australia Pty Ltd,USD,Jennifer Chen,COD,"Suite 39.03 One International Towers 100 Barangaroo Avenue, Barangaroo NSW 2000 Australia","Suite 39.03 One International Towers 100 Barangaroo Avenue, Barangaroo NSW 2000 Australia",5/03/2024,6/03/2024,3/04/2024
ANMA2,ANM Auto Electrics Pty ltd,AUD,Karen Riddell,COD,"PO Box 1222, Cooma NSW 2630 Australia","2A Utah Circuit, Polo Flat, Cooma NSW 2630 Australia",29/04/2022,29/04/2022,29/04/2022
ANRE2,ARC Traffic + Transport,AUD,Matt Bellingham,Net 30 Days,"Canoon Road, South Turramurra NSW 2074 Australia",Australia,24/03/2021,19/04/2021,26/11/2021
ANTG8,Antec Group Pty Ltd,AUD,Karen Riddell,COD,"8 Willes Road, Berrimah  828 Australia","8 Willes Road, Berrimah  0828 Australia",4/08/2025,4/08/2025,4/08/2025
ANUACT,Australian National University,AUD,Jennifer Chen,Net 30 Days,"Chancelry Building 10c, Canberra ACT 0200 Australia","Building 58 Store West end of Garran Road, Canberra ACT 2601 Australia",5/09/2024,18/10/2024,18/10/2024
ANUN2,Siding Spring Obversatory Australian National University,AUD,Jennifer Chen,COD,"Observatory Road, Coonabarabran NSW 2357 Australia","Observatory Road, Coonabarabran NSW 2357 Australia",29/06/2020,,
ANURSP,Australian National University,AUD,Kurt Schober,Net 30 Days,"Chancelry Building 10c, Canberra ACT 2601 Australia","142 Mills Road, Canberra ACT 2601 Australia",29/06/2020,4/07/2024,4/11/2024
ANWSC,Anywise Consulting Pty Ltd,AUD,Matt Bellingham,COD,"PO Box 292, Brunswick East VIC 3057 Australia","PO Box 292, Brunswick East VIC 3057 Australia",4/11/2021,4/11/2021,4/11/2021
APCT5,APC Technology Pty Ltd,AUD,Jennifer Chen,Net 30 Days,"991 Port Road, Cheltenham SA 5014 Australia","991 Port Road, Cheltenham SA 5014 Australia",29/06/2020,30/03/2021,30/03/2021
APCT5U,APC Technology Pty Ltd,USD,Jennifer Chen,Net 30 Days,"991 Port Road, Cheltenham SA 5014 Australia","991 Port Road, Cheltenham SA 5014 Australia",29/06/2020,25/09/2020,21/05/2025
APEC8,Apec Electrical And Communication Services,AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,,
APEL8,Apex Electrical Contracting Pty Ltd,AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,,
APPO3,Apsu Power Pty Ltd,AUD,Jennifer Chen,COD,"PO Box 114, Doncaster VIC 3108 Australia","PO Box 114, Doncaster VIC 3108 Australia",29/06/2020,,
APPU3,All Purpose Pumps Pty Ltd,AUD,Karen Riddell,COD,"21-23 Industrial Avenue, Hoppers Crossing VIC  Australia","21-23 Industrial Avenue, Hoppers Crossing VIC  Australia",16/07/2025,,
APRE5,Apr Engergy Pty Ltd,AUD,Karen Riddell,COD,"Corner Of Chrysler And Christie Roads, Adelaide SA 5160 Australia","Corner Of Chrysler And Christie Roads, Adelaide SA 5160 Australia",29/06/2020,,
ARCC2,ARCC Pty Ltd,AUD,Karen Riddell,Net 30 Days,"1/13 Hume Road, Smithfield NSW 2164 Australia","1/13 Hume Road, Smithfield NSW 2164 Australia",9/07/2021,12/07/2021,8/12/2022
ARCE2,Fortius Sydney Homemaker Trust,AUD,Kurt Schober,Net 30 Days,"Level 25, 420 George Street, SYDNEY NSW 2000 Australia","1 Frederick Street (Ground Level), SYDNEY NSW 2000 Australia",29/10/2024,29/10/2024,30/06/2025
ARCI6,arc-i Welding Industries,AUD,Karen Riddell,COD,"Unit 1, 1 Roberts St (west), Osbourne Park WA 6017 Australia","Unit 1, 1 Roberts St (west), Osbourne Park WA 6017 Australia",25/08/2022,25/08/2022,25/08/2022
ARKE3U,Arkeus Pty Ltd,USD,Jennifer Chen,COD,"7 Gateway Court, Port Melbourne VIC 3207 Australia","7 Gateway Court, Port Melbourne VIC 3207 Australia",16/01/2025,17/01/2025,23/06/2025
ARLA2,Acoustic Research Laboratories,AUD,Karen Riddell,COD,"Unit 36, 14 Loyalty Road, North Rocks NSW 2151 Australia","Unit 36, 14 Loyalty Road, North Rocks NSW 2151 Australia",29/06/2020,,
ARMPH,Armidale Private Hospital,AUD,Matt Bellingham,Net 30 Days,"PO Box 7602, St Kilda Road,  VIC 8004 Australia","226B Rusden Street, ARMIDALE NSW 2350 Australia",5/11/2020,16/11/2020,16/11/2020
ARTC2,ARTC,AUD,Karen Riddell,COD,"3 Blackshaw Road, Goulburn NSW 2580 Australia","3 Blackshaw Road, Goulburn NSW 2580 Australia",31/03/2023,31/03/2023,31/03/2023
ARUP,ARUP,AUD,Matt Bellingham,COD,"Barrak Place, 151 Clarence Street, Sydney NSW 2000 Australia","Barrack Place, 151 Clarence Street, Sydney NSW 2000 Australia",16/09/2021,1/10/2021,1/10/2021
ASAP4,A Supply Of All Parts,AUD,Karen Riddell,COD,"33 Relesah Drive, Ningi QLD 4511 Australia","33 Relesah Drive, Ningi QLD 4511 Australia",29/06/2020,,
ASCI3,Alpine Shire Council,AUD,Karen Riddell,COD,"PO Box 139, Bright VIC 3741 Australia","PO Box 139, Bright VIC 3741 Australia",29/06/2020,,
ASFT2,Asf Tours,AUD,Karen Riddell,COD,"10 Liverpool Road, Ingelburn NSW 2565 Australia","10 Liverpool Road, Ingelburn NSW 2565 Australia",29/06/2020,,
ASHI2,Astute Hire,AUD,Karen Riddell,COD,"70 Stony Creek Road, Shanes Park NSW 2747 Australia","70 Stony Creek Road, Shanes Park NSW 2747 Australia",29/06/2020,,
ASHI3,Ashi Hire,AUD,Karen Riddell,COD,"12-18 Cook Street, Port Melbourne VIC 3207 Australia","12-18 Cook Street, Port Melbourne VIC 3207 Australia",29/06/2020,,
ASIN4,Ashdown-Ingram,AUD,Karen Riddell,Net 60 Days,"Private Bag 5359, Eagle Farm Bc QLD 4009 Australia",Australia,29/06/2020,30/06/2020,4/08/2023
ASIS2U,Asi Solutions,USD,Jennifer Chen,Net 30 Days,"Lakes Business Park, 8 Lord Street, Botany NSW 2019 Australia","Lakes Business Park, 8 Lord Street, Botany NSW 2019 Australia",29/06/2020,30/06/2020,10/07/2025
ASIVCG,Asiv Construction Group Pty Ltd,AUD,Kurt Schober,Net 30 Days,"U15, 39-47 Lawrence Drive, Nerang QLD 4211 Australia","U15, 39-47 Lawrence Drive, Nerang QLD 4211 Australia",21/02/2023,23/03/2023,23/03/2023
ASLC0,Aspect Solutions Ltd,AUD,Karen Riddell,COD,"PO Box 300-483, Albany, Auckland   New Zealand","32E Poland Road, Wairau Valley, Auckland   New Zealand",9/03/2022,14/03/2022,18/06/2025
ASMA2B,Als Signs,AUD,Karen Riddell,COD,"Unit 3/26 Lawson Cres, Coffs Harbour NSW 2450 Australia","Unit 3/26 Lawson Cres, Coffs Harbour NSW 2450 Australia",29/06/2020,,
ASMA8A,Trust C/- Jones Lang Lasalle,AUD,Kurt Schober,Net 30 Days,"260A Liverpool Road, Ashfield NSW 2131 Australia","260A Liverpool Road, Ashfield NSW 2131 Australia",21/09/2020,29/09/2020,29/09/2020
ASRE6,Asiarep Resources,AUD,Jennifer Chen,COD,"Unit 1, 68 Erceg Rd, Yangebup WA 6164 Australia","Unit 1, 68 Erceg Rd, Yangebup WA 6164 Australia",23/11/2022,23/11/2022,5/04/2024
ASSE4,Australasian Safety Services,AUD,Jennifer Chen,COD,Australia,Redland Bay QLD 4165 Australia,29/06/2020,30/09/2020,17/11/2022
ATAD4,All Torque Automotive And Diesel Pty Ltd,AUD,Karen Riddell,COD,"Unit 4, 1 Trade Street, Ormiston QLD 4161 Australia","Unit 4, 1 Trade Street, Ormiston QLD 4161 Australia",29/06/2020,,
ATBM2,ATB Morton,AUD,Karen Riddell,COD,"PO Box 186, Hunter Region MC NSW 2310 Australia","9 Old Punt Road, Tomago NSW 2322 Australia",7/03/2025,7/03/2025,7/03/2025
ATGD2,Attorney General'S Department,AUD,Karen Riddell,COD,"Unit 3,  92-94 Gladstone Street, Fyshwick ACT 2609 Australia","Unit 3,  92-94 Gladstone Street, Fyshwick ACT 2609 Australia",29/06/2020,,
ATPA4,Access Tractor Parts,AUD,Karen Riddell,COD,"211 Bunya Road, North Arm QLD 4561 Australia","211 Bunya Road, North Arm QLD 4561 Australia",29/06/2020,,
ATSU2Q,Austraffic (QLD),AUD,Karen Riddell,Net 30 Days,"71 Beenleigh St, Coopers Plains QLD 4108 Australia","Unit 8/71 Beenleigh St, Coopers Plains QLD 4108 Australia",29/06/2020,20/07/2020,5/02/2025
ATSU8N,Austraffic (NSW) Pty Ltd,AUD,Karen Riddell,Net 30 Days,"52/2 Railway Pde, Lidcombe NSW 2141 Australia","52/2 Railway Pde, Lidcombe NSW 2141 Australia",29/06/2020,26/03/2021,22/11/2022
ATSU8S,Austraffic (SA) Pty Ltd,AUD,Karen Riddell,COD,"32 Seaview Road, Tennyson SA 5022 Australia","32 Seaview Road, Tennyson SA 5022 Australia",29/06/2020,28/06/2021,22/01/2025
ATSU8V,Austraffic (VIC) Pty Ltd,AUD,Karen Riddell,Net 30 Days,"Unit 2, 56 Centre Way, Croyden South VIC 3136 Australia","Unit 1, 56 Centre Way, Croyden South VIC 3136 Australia",29/06/2020,30/11/2020,25/06/2024
AUCO2,Cumberland Council,AUD,Matt Bellingham,Net 30 Days,"Po Box 42, Merrylands NSW 2160 Australia","16 Memorial Ave, Merrylands NSW 2160 Australia",1/07/2020,30/06/2020,6/05/2021
AUCO6,Austral Construction Pty Ltd,AUD,Karen Riddell,COD,"Level 11, 200  George Street, Perth  6000 Australia","to be advised,    Australia",13/10/2023,,
AUEX6,Austex Australian Exploration Engineering,AUD,Karen Riddell,Net 30 Days,"307 Berkshire Road, Forestfield WA 6058 Australia","307 Berkshire Road, Forestfield WA 6058 Australia",29/06/2020,15/11/2022,15/11/2022
AUFI4,Austral Fisheries,AUD,Karen Riddell,Net 30 Days,"53 Dutton Street, Cairns QLD 4870 Australia","53 Dutton Street, Cairns QLD 4870 Australia",9/05/2025,9/05/2025,4/06/2025
AUFI6,Australian Fire Industries,AUD,Karen Riddell,COD,"20 Sorbonne Crescent, Canning Vale WA 6155 Australia","20 Sorbonne Crescent, Canning Vale WA 6155 Australia",29/06/2020,,
AUHE3,Austin Hospital,AUD,Anthony Cuoco,Net 30 Days,"PO  Box 555, Heidelberg VIC 3084 Australia","Level 6, Harold Stokes Building  145 Studley Road, Heidelberg VIC 3084 Australia",29/06/2020,27/07/2020,27/07/2020
AUMA4,Automap,AUD,Jennifer Chen,COD,"PO Box 574, Toowong QLD 4066 Australia","15/26 Brisbane Street, Toowong QLD 4066 Australia",9/07/2020,27/07/2020,15/03/2021
AUMO3,Automobility Pty Ltd,AUD,Karen Riddell,Net 30 Days,"Unit 3, 63 Canterbury Road, Montrose VIC 3765 Australia","Unit 3, 63 Canterbury Road, Montrose VIC 3765 Australia",29/06/2020,30/06/2020,17/07/2024
AUPM2,Australia Pacific Maritime,AUD,Karen Riddell,COD,"4 St Lawrence Street, Greenwich NSW 2065 Australia","4 St Lawrence Street, Greenwich NSW 2065 Australia",6/10/2022,6/10/2022,6/10/2022
