itemCode,itemName,longDescription,totalStock,qtyInWhs01,qtyInDemoWhs,qtyInTS01Whs,qtyInNSW01Whs,qtyInQLD01Whs,qtyInVIC01Whs,qtyInWA01Whs
AMD1049,OY.MATE-2205-P2-C4-0810,MATE-2205-P2-A1-0010 PPC.i7-9700TE.22.DC 12V.PCT 2 x DDR4-04G-003 (AOH)(TF)Memory Module.8GB.DDR4 2666.SODIMM.260 Pin 1255301205 (AOH)(TF)Medical Power Adaptor.AC/DC.100-240V.12V.10A.120W.W/4P DIN.EDAC.EM11011H 170203180S (AOH)(TF)POWER CORD.3P.10A 250V.1.8M.Australia.I-sheng.SP-502B/IS-14  OPM-C12W-A6 WLAN Kit.802.11a/b/g/n/ac w/BT 4.1.dual int. antenna.Qualcomm Atheros NFA364A OPM-T004-A3 5M Pixels Camera with Mic Kit.for MATE series M.2 SSD.512GB,0,0,0,0,0,0,0,0
AMD10491,OY.P502205020,(AOH)(TF)Plastic.PMMA.Bottom Name Plate.for Visionflex.Rev0.0.MATE-2205,0,0,0,0,0,0,0,0
AMD10492,OY.MATE-2205-P2-C4-0811,"PPC.i7-9700TE.22"".AC 80~264V.PCT.8G RAM.512G SSD.WiFi.Camera.Cord (includes the VF Logo)",0,0,0,0,0,0,0,0
AMD1050,OY.ONYX-BE182DT-A1-1010,18.5.J1900.Bedside Touch Monitor.R-TS.DDR3 2G.Reading light. Webcam.Smart card,0,0,0,0,0,0,0,0
AMD1055,OY.968C256G3C,M.2SSD.256GB.SATA3.2242-D2-B-M,0,0,0,0,0,0,0,0
AMD1062,OY.UP-L22-A2-1010,2-slot charger.12/19/24V DC output.USB.connector cable,0,0,0,0,0,0,0,0
AMD1063,OY.968C128G2A,128GB SSD,0,0,0,0,0,0,0,0
AMD1064,OY.UP-L22-A1-1010,2-slot charger.24V/150W Adaptor.12/19/24V DC output (50 W).USB.connector cable,2,0,2,0,0,0,0,0
AMD10645,OY.UP-P22-A3-1010,2-slot charger.voltage regulator.24V/150W IT Adaptor.USB,15,14,1,0,0,0,0,0
AMD106461,OY.SHEPPID UPOWER P22 (XXL) SAMPLE KIT WITH CABLE,SHEPPID UPOWER P22 (XXL) SAMPLE KIT WITH CABLE,0,0,0,0,0,0,0,0
AMD1065,OY.1255301501,(AOH)(TF)Medical Adaptor.AC/DC.100-240V/2.5-1.0A.24V/6.25A150W.EDAC.EM11701F,12,12,0,0,0,0,0,0
AMD1066,OY.OPM-C02F-A1,2-PORT IEEE 1394a.PCI EXPRESS HOST CARD.FOR ZEUS SERIES,0,0,0,0,0,0,0,0
AMD1067,OY.OPM-C06W-A6,WLAN Kit.802.11a/b/g/n w/BT 4.0.Half Mini Card.dual int. antenna.Atheros AR5B22,0,0,0,0,0,0,0,0
AMD1068,OY.OPM-C07W-A2,WLAN Kit.802.11a/b/g/n.BT 4.0.dual antenna.AR5B22.for VENUS-22x,0,0,0,0,0,0,0,0
AMD1069,OY.OPM-C16W-A0,WLAN Kit.802.11a/b/g/n w/BT 4.0.Mini Card.one int. antenna.white ext. antenna.Atheros AR5B22,0,0,0,0,0,0,0,0
AMD1070,OY.OPM-C09W-A0,WLAN Kit.Intel 7260.802.11ac/a/b/g/n.BT 4.0.with dual band antenna.VENUS-22x,0,0,0,0,0,0,0,0
AMD1071,OY.OPM-C10W-A0,WLAN Kit.Intel 8265.802.11ac/a/b/g/n.BT 4.2.with dual band antenna.Venus-22x,0,0,0,0,0,0,0,0
AMD1076,OY.OPM-C09W-A4,WLAN Kit.Intel 7260.802.802.11ac/a/b/g/n.BT 4.0.dual ext. antenna,0,0,0,0,0,0,0,0
AMD1079,OY.OPM-C10W-A2,WLAN Kit.802.11a/b/g/n/ac w/BT 4.2.dual int. antenna.Intel 8265.for MATE-xx03,0,0,0,0,0,0,0,0
AMD1080,OY.968C128G0W,(TF)2.5 SATA3 SSD.128GB.MLC.-10 ~ 80 deg C.Transcend.TS128GSSD370,0,0,0,0,0,0,0,0
AMD10805,OY.968C128G2A,128GB SSD,0,0,0,0,0,0,0,0
AMD1082,OY.968C128G37,"(TF)2.5"" SATA3 SSD.128GB.MLC.-10 ~ 80 deg C.Transcend.TS128GSSD420K-ONYX",0,0,0,0,0,0,0,0
AMD1083,OY.968C256G35,(AOH)(TF)2.5.256GB SSD.SATA3.-10 ~ 80 deg.Transcend.TS256GSSD420K-ONYX F/W:01225G,0,0,0,0,0,0,0,0
AMD1084,OY.968C128G3F,(AOH)(TF)Half size mSATA.128GB.SATA3.MLC.0~70deg C.Transcend.TS128GMSM360,0,0,0,0,0,0,0,0
AMD10845,OY.968C128G3H,128GB RAM,0,0,0,0,0,0,0,0
AMD1085,OY.OS-W7UE-ON0001,Windows 7 Pro for Embedded.64-bit.English version.w/Recovery DVD.for ONYX,0,0,0,0,0,0,0,0
AMD1086,OY.OS-WE8P-ON0002,Windows Embedded 8.1.Industry Pro.64-bit.English version.w/Recovery DVD.for ONYX,0,0,0,0,0,0,0,0
AMD1087,OY.WINDOWS 10,Windows 10 IoT Enterprise.High End.64-bit.English version.w/Recovery DVD.for ONYX,0,0,0,0,0,0,0,0
AMD1088,OY.OS-W7PE-ON0005,Windows 7 Pro for Embedded.64-bit.English version.w/Recovery DVD.for ONYX,0,0,0,0,0,0,0,0
AMD10885,OY.OS-W10N-ON0002,,0,0,0,0,0,0,0,0
AMD1089,OY.OS-W10V-ON0002,Windows 10 IoT Enterprise.LTSB 2019 Value.64-bit.English version.w/Recovery DVD-DL.for ONYX,0,0,0,0,0,0,0,0
AMD10902,OY.OPM-P01T-03 (STD),2 Battery Kit(short).Li-ion 3S2P.10.8V.Venus/UPower.volume package,20,0,20,0,0,0,0,0
AMD10902-R,OY.OPM-P01T-03 RECYCLE,2 Battery Kit(short).Li-ion 3S2P.10.8V.Venus/UPower.volume package (Recycle),0,0,0,0,0,0,0,0
AMD10911,OY.9789OMD110,(AOH)(TF)Li-Polymer Battery(1pcs)..module.2S3P 7.2V.4710mAh.Cell:NCA793540.GLW.7299-0A06A00014,20,20,0,0,0,0,0,0
AMD10922,OY.OPM-P02T-03 (XL),2 XL Battery Kit(long).Li-ion 3S3P.10.95V.Venus/UPower.volume package,422,418,4,0,0,0,0,0
AMD10922(5),OY.OPM-P02T-03 (XL),2 x XL Battery pack with 5 Years WTY,0,0,0,0,0,0,0,0
AMD10922.DEMO,OY.OPM-P02T-03,Dual XL Batteries Pack X 2 Used demo Batteries,0,0,0,0,0,0,0,0
AMD10922A,OY.9689BAXL13 ( XL Batteries with version 2 electronics),,0,0,0,0,0,0,0,0
AMD10922B,OY.9789BAXL01 XL Battery,2XL Battery Kit (Long) LI-ion 3S3P.10.95V.8550mAH.SDI INR 18650-29Ecell.GLW.7299-0A09A0000(X).For BatteryXL,0,0,0,0,0,0,0,0
AMD10933,OY.OPM-P03T-03 (XXL),XXL Battery Kit(2 pcs).Li-ion 3S4P.10.8V/12060mAh.Venus/UPower.volume package,461,453,8,0,0,0,0,0
AMD1095,OY.OPM-P02C-02,2-slot charger.24V/150W power adapter,0,0,0,0,0,0,0,0
AMD1096,OY.OPM-P03C-A1,22Wh Backup Battery Kit.ZEUS-BAT01.for ZEUS series,0,0,0,0,0,0,0,0
AMD10960,OY.175011901C CMOS BATTERY,(TF)BATTERY.3V.MAXELL.CR2032M1S8-LF,0,0,0,0,0,0,0,0
AMD10969,OY.968C256G3B,256GB SSD,0,0,0,0,0,0,0,0
AMD1097,OY.968C256G3C,(AOH)(TF)2.5 SATA3 SSD.256GB.0~70?.Transcend.TS256GSSD230S,0,0,0,0,0,0,0,0
AMD1098,OY.UP-P22-A2-1010,2-slot charger.24V adaptor,4,4,0,0,0,0,0,0
AMD1100,OY.OPM-V01C-02,2MP Camera Kit w/ mic.for VENUS series,0,0,0,0,0,0,0,0
AMD1102,OY.OPM-V04C-01,5MP Camera Kit.for VENUS-24x,0,0,0,0,0,0,0,0
AMD1212,OY.VENUS-223ET-C1-1010,"Venus223 intel dual core i7, 8GBRAM, 256GBSSD, Intel WiFi, R-TS, 2MP CAMERA with Mic,2XL Battery,Image Load, Asset Tagging.",1,0,1,0,0,0,0,0
AMD1230,OY.VENUS-223ET-C71010,"i5,R-TS,8GBRAM,256GBSSD,WIFI KIT AR5B22,XL Batteries",1,1,0,0,0,0,0,0
AMD12301,OY.VENUS-223ST-C7-9999 (changed the OSD key behavior),This is the same config as VENUS-223ET-C7-1010 but with the more expensive Project Capacitive Touch Screen instead of Resistive Touch” offered by Onyx,0,0,0,0,0,0,0,0
AMD1250,OY.VENUS-223ET-C9-1010,"VENUS223ET, i5 6300U, 8GB RAM, R-TS, 256GB SSD, AR5B22 Wifi, XL Batteries, 2YW",0,0,0,0,0,0,0,0
AMD12501,OY.VENUS-223ET-C9-1010 + CAMERA,"VENUS223ET, i5 6300U, 8GB RAM, R-TS, 256GB SSD, AR5B22 Wifi, XL Batteries, 2YW",1,0,1,0,0,0,0,0
AMD12501A,OY.VENUS-223ET-C9-1010 + CAMERA,"VENUS223ET, i5 6300U, 8GB RAM, R-TS, 256GB SSD, AR5B22 Wifi, 2YW+ camera kit (No batteries)",0,0,0,0,0,0,0,0
AMD12502,OY.VENUS-243ST-A5-0002,"Venus 24"", PCT , I5,8GB Ram , 256 Gb SSD, Wi-Fi, XL Batteries x2. ( OPM-C10W-A8,DDR4-08G-001,SSD-256GB-002)",0,0,0,0,0,0,0,0
AMD12503,OY.VENUS-223ET-C10-1010,"Venus223, R-TS, I7, 16GB RAM, 256GB SSD, WIFI/BT, 2MP Camera KIT,W10, IT P/S Adaptor, AUS Power Cord, XL Batteries, 2 YR Warranty",3,3,0,0,0,0,0,0
AMD1250A,OY.VENUS-223ET-C9-1010,"VENUS223ET, i5 6300U, 8GB RAM, R-TS, 256GB SSD, AR5B22 Wifi, No Batteries, 2YW",0,0,0,0,0,0,0,0
AMD1251,OY.VENUS-223ET-C9-1010 W/256GB SSD,"VENUS223ET-A1-1010,i5 6300U,8GB RAM,R-TS,256GB SSD,AR5B22 Wifi,XL Batteries,2YW",0,0,0,0,0,0,0,0
AMD1280,OY.VENUS-223ET-C8-1010,"i5,R-TS,8GBRAM,128GBSSD,WIFI KIT AR5B22,XL Batteries + W10 (VENUS-223ET-A5-1010+DDR4-04G-001+968C128G3H+OPM-C07W-A2+OS-W10V-ON0002)",0,0,0,0,0,0,0,0
AMD1301,OY.MEDDP-524TPD-A1-1010,MEDDP.24.1A1DP1H.PCAP.DICOM.W.12V adapter,0,0,0,0,0,0,0,0
AMD1400,OY.ONYX-1723DTT-A1-1010,Slim PPC.i3-3217UE.17.Fanless.DC 12~24V.R-TS.4G RAM,0,0,0,0,0,0,0,0
AMD1571,OY.MEDPC-5700-A2-1010,Med PC.Intel Quad Core i7-4770TE.Fanless.DC 12~24V.8GB RAM,1,0,1,0,0,0,0,0
AMD1580,OY.MEDPC-5700-C8-1010,MEDPC-5700-A1-1010.Med PC.Intel Quad Core i7-4770TE.Fanless.DC 12~24V.8GB RAM+968C512G0H.512GBSSD+P/S Adaptor+OS-!10H-ON9601,0,0,0,0,0,0,0,0
AMD1600,OY.MEDDP-522TPD-A1-1010,MEDDP.21.5.1A1DP1H.PCAP.DICOM.W.12V adapter,1,0,1,0,0,0,0,0
AMD1601,OY.MEDDP-627-TPD-A1-1010,27 LCD Monitor.350 nits.P-CAP Touch.DVI-Dx1.HDMIx1.DPx1.12V adapter.DICOM,1,0,1,0,0,0,0,0
AMD1602,OY.MEDDP-624HPN-A1-1010,"23.8 LCD Monitor.400 nits,P-CAP Touch.DVI-Dx1.HDMIx1.DPx1.DC 12V Adapter",0,0,0,0,0,0,0,0
AMD1612,OY.MEDDP-722-G1-A2-0010 W/PROTECTIVE FILM >,Monitor. 22.250 nits.DC 12V.Glass.2M Camera (Need to add 125530036A adaptor) Plus Protective Film,5,4,1,0,0,0,0,0
AMD1620,OY.MEDDP-415HNN-A1-1010,15 LCD Monitor.300 nits.VGAx1.HDMIx1.DC 12V Adapter,0,0,0,0,0,0,0,0
AMD1630,OY.MPAD-800-C01-1020,"8” Medical Tablet . ARM® Cortex® Quad-Core RK3288. 2GSDRAM, 16GB eMMC. Front 8MP+ Rear 8MP camera, WiFi.BT.Android 10.0, power adapter.",0,0,0,0,0,0,0,0
AMD1701,OY.OS-WIN10-01,Windows.10 Pro.64-bit English ???(DVD).Microsoft.FQC-08929,2,2,0,0,0,0,0,0
AMD1900,OY.VENUS-222E-C2-1010,Cart Computer.J1900.22.Fanless.4G RAM.SCR.TPM.128GB SSD.WIFI/BT KIT.StdBattery x 2,1,0,1,0,0,0,0,0
AMD1901,OY.OPM-P01D-01,DC Output Venus222 option,0,0,0,0,0,0,0,0
AMD2000,OY.UP-L62-A1-1010,6-slot charger.24V/250W Adaptor.USB,11,10,1,0,0,0,0,0
AMD20001,OY.UP-L62-A4-1010 (EOL REPLACEMENT AMD2000),6-slot charger.24V/250W power adaptor without USB,0,0,0,0,0,0,0,0
AMD20001A,OY.UP-L62-A4-1010 (USE AMD20001),6-Slot battery Charger,0,0,0,0,0,0,0,0
AMD2000A,OY.1255202502,"(AOH)(TF)IT Grade Adaptor.AC/DC.100-2 40V/3.5-2.5A.24V/10.41A,250W.EDAC.E A12501Q-2400",0,0,0,0,0,0,0,0
AMD2001,OY.UP-43P-A1-1010,"UPower Pro-P43 (4Slot 90+90 medical power bank 3DC O/P, WiFi)",1,1,0,0,0,0,0,0
AMD20011,OY.OPM-H24A-A1,Cart mounting bracket for UP-43,1,0,1,0,0,0,0,0
AMD20012,OY.OPM-T033-A1,Multiple DC jack for UP-43 with 1m cable,0,0,0,0,0,0,0,0
AMD2002,OY.UP-43P-A2-1010,UPower Pro P43 with UP Board,1,0,1,0,0,0,0,0
AMD2005,OY.DDR4-04G-001,Memory Module.4GB. DDR4 2133.SODIMM.260 Pin,0,0,0,0,0,0,0,0
AMD2006,OY.968D3004G6,(AOH)(TF)4GB.DDR3L-1600.204Pin SO-DIMM.1.35V.Samsung.512Mx8.DSL.D3SS12081XL12A(X),0,0,0,0,0,0,0,0
AMD201,OY.OPT-ESL1,ONSITE - 1 Year Warranty Extension (3 years wty),0,0,0,0,0,0,0,0
AMD2010,OY.1255301301,(AOH)(TF)Medical Power Adaptor.AC/DC.100-240V.24V.5.41A.130W.W/ Lock CORE.EDAC.EM11201B(06).For MATE series,0,0,0,0,0,0,0,0
AMD2011,OY.1702031812,"(AOH)(TF)POWER CORD.3P.10A 250V.1.8M.Australia.I-sheng.SP-502B/is-14N,H05VV-F,CT-12",0,0,0,0,0,0,0,0
AMD2012,OY.1255301206,(AOH)(TF)Power Adaptor.AC/DC.100-240V.120W.EDAC.EM11011M-240,103,103,0,0,0,0,0,0
AMD2012A,OY.125520150A,AOH)(TF)IT grade Adapter.150W.Adapter STD-24066.input:100-240Vac:output:+24V./6.6A.  To be used only with the old generation Venus units,25,25,0,0,0,0,0,0
AMD2012B,OY.125530120B,"Power Adaptor.AC/DC.100-240V input .120W.19V output, EDAC.EM11011M-190",6,6,0,0,0,0,0,0
AMD2013,OY.VENUS-223ET-A5-1010,Cart Computer.i5.22.Fanless.R-TS.4G RAM.SCR.TPM.Battery x2,2,0,2,0,0,0,0,0
AMD2018,OY.1757213000,(AOH)(TF)Power Adapter.130W.100~240Vac.24V/5.41A.Medical Grade.EDAC.EM11201B,0,0,0,0,0,0,0,0
AMD2019,OY.125530120B (PSU Adaptor),,0,0,0,0,0,0,0,0
AMD2021,OY.1255301204,(AOH)(TF)Medical Power Adaptor.AC/DC.100-240V.12V.10A.120W.W/4P DIN.Adapter.ATM120-P120,0,0,0,0,0,0,0,0
AMD2025,OY.1255202501,6-Slot battery bank.24V/250W power adaptor,0,0,0,0,0,0,0,0
AMD2032,OY.1255301202,(AOH)(TF)Medical Power Adaptor.AC/DC.100-240V.24V.5A.120W.W/ Lock.Adapter.ATM120-P240,0,0,0,0,0,0,0,0
AMD20321,OY.1255301202 (+AUSPWRCORD),Medical Power Adaptor.AC/DC.100-240V.24V.5A.120W.W/ Lock.Adapter.ATM120-P240+AusCord,0,0,0,0,0,0,0,0
AMD2087,OY.OS-WIN10-01,Windows.10 Pro.64-bit English ???(DVD).Microsoft.FQC-08929,0,0,0,0,0,0,0,0
AMD2100,OY.RS-VENUS-243ST-A1-1010,"Cart Computer.24"".i5.PCAP.8GB RAM.128GB SSD.RFID.Intel WiFi.W10 Pro.XL Batteries",0,0,0,0,0,0,0,0
AMD2101,OY.VENUS-243E-C2-1010,W/PROTECTIVE DISPLY FILM,0,0,0,0,0,0,0,0
AMD2102,OY.VENUS-243E-A5-1010,"Venus24"".i5.SCR.TPM.8GB RAM.128GB SSD.Intel WiFi.W10 Pro.XL Batteries",1,0,1,0,0,0,0,0
AMD2103,OY.VENUS-243E-C3-1010,"VENUS24E, i5, 24” Non Touch, Screen Protector, 8GBRAM, 128GB SSD, WiFi B/T, W10PRO (which is VENUS-243-C2-1010 but without the RFID).",0,0,0,0,0,0,0,0
AMD2240,OY.VENUS-224-P35-C1-0800,"i5-1135G7,22”PCT,8GB RAM, 2x128GB SSD, 2xWiFi(intel AX200+Atheros),Smart card + Barcode readers, Imprivata RFID, camera,Alarm LED,custom button,smart screensaver,19V medical adaptor",1,0,1,0,0,0,0,0
AMD2241,OY.VENUS-224-P75-C1-0400,"Intel 7505,22” PCT,4GB RAM, 1x128GB SSD, 2xWiFi(intel AX200+Atheros),Smart card + Barcode readers, Imprivata RFID, camera,Alarm LED,custom button,smart screensaver, 19V medical adaptor",0,0,0,0,0,0,0,0
AMD2242,OY.VENUS-224-P35-C2-0802,"Venus224.Intel 11st i5-1135G.22"" PCT.8GB RAM.256GB SSD.WiFi.RFID.5MP camera kit,Orion,Nurse Light with Battery indicator.XL Batteries",0,0,0,0,0,0,0,0
AMD2243,OY.VENUS-224-P35-C4-0800,"Venus224.Intel 11st i5-1135G.22"" PCT.8GB RAM.256GB SSD.WiFi.RFID.5MP camera kit (No batteries).PS Adaptor+Aus Power Cord. for Wall Mount.",0,0,0,0,0,0,0,0
AMD2244,OY.VENUS-224-P35-C3-1602,"Venus224.Intel 11st i5-1135G.22"" PCT.16GB RAM.256GB SSD.WiFi/Bluetooth, 5MP camera kit, Orion, XL Batteries, WIN10 IOT, 2year warranty",0,0,0,0,0,0,0,0
AMD2245,OY.VENUS-224-G35-C1-0802,"i5-1135G, 22"".non-touch.TPM, 8GB RAM, 256GB SSD, Intel Wifi, XL Batteries",0,0,0,0,0,0,0,0
AMD2245A,OY.VENUS-224-G35-C2-0802,"Cart Computer.i5 1135G7.22"".Fanless.non-touch.8G.256G.WiFi+BT.TPM.Win10 pro.ORION. XL Battery x2",0,0,0,0,0,0,0,0
AMD2246,OY.VENUS-224-P35-H2-1603,"Cart Computer.i5 1135G7.22"".Fanless.PCT+AG.16G.512G.WiFi+BT.RFID.SCM.TPM.ORION.adaptor.G-pin with 2 x XXL Batteries",1,1,0,0,0,0,0,0
AMD2246N,OY.VENUS-224-P35-H3-1600,"Cart Computer.i5 1135G7.22"".Fanless.PCT+AG.16G.512G.WiFi+BT.RFID.SCM.TPM.ORION. NO Battery.adaptor.G-pin",12,12,0,0,0,0,0,0
